ticker,company,sector,sub_industry,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,dividends_paid_usd
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1.0,,,,1.0,0.0,3.0,,,1.0,800000000.0,576000000.0
HAS,Hasbro,Consumer Discretionary,Leisure Products,,,,,1.0,1.0,3.0,,,0.0,0.0,388000000.0
HBAN,Huntington Bancshares,Financials,Regional Banks,,,,,1.0,1.0,3.0,,,1.0,0.0,900000000.0
HCA,HCA Healthcare,Health Care,Health Care Facilities,,,,,1.0,1.0,,,,0.0,3811000000.0,661000000.0
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,,,,,1.0,1.0,3.0,,,1.0,7951000000.0,8383000000.0
HIG,Hartford (The),Financials,Property & Casualty Insurance,,,,,1.0,0.0,3.0,,,1.0,1400000000.0,528000000.0
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,,1.0,limited,,1.0,0.0,3.0,,,0.0,75000000.0,200000000.0
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,1.0,1.0,,,,1.0,2338000000.0,158000000.0
HON,Honeywell Technologies,Industrials,Industrial Conglomerates,,,,1.0,1.0,1.0,3.0,,,1.0,3715000000.0,2855000000.0
HONA,Honeywell Aerospace,Industrials,Aerospace & Defense,,,,,,,,,,,,
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,,,,,1.0,1.0,,,,1.0,608000000.0,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",1.0,,,,1.0,0.0,2.0,11.0,12.0,1.0,421000000.0,619000000.0
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,1.0,0.0,3.0,11.0,12.0,0.0,100000000.0,1037000000.0
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,,,,,1.0,0.0,3.0,,,0.0,12303000.0,592932000.0
HSIC,Henry Schein,Health Care,Health Care Distributors,,,,,1.0,1.0,3.0,,,1.0,250000000.0,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,,,,,1.0,1.0,3.0,,,1.0,182000000.0,547000000.0
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,,,,,1.0,1.0,3.0,,,1.0,264913000.0,889071000.0
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,0.0,3.0,10.0,11.0,1.0,30000000.0,
HUM,Humana,Health Care,Managed Health Care,,,,,1.0,1.0,3.0,,,0.0,1573000000.0,431000000.0
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,,,,,1.0,1.0,3.0,8.0,9.0,1.0,250000000.0,
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,,,,,1.0,0.0,,,,1.0,,42000000.0
IBM,IBM,Information Technology,IT Consulting & Other Services,,,,,1.0,1.0,3.0,12.0,13.0,1.0,,6040000000.0
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,,,,,1.0,1.0,1.0,9.0,11.0,1.0,0.0,955000000.0
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,,,,,1.0,1.0,1.0,,,1.0,71920000.0,
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,1.0,3.0,,,0.0,24200000.0,190700000.0
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,,,,,1.0,1.0,3.0,,,0.0,0.0,826000000.0
INCY,Incyte,Health Care,Biotechnology,,,,,1.0,1.0,3.0,,,1.0,0.0,
INTC,Intel,Information Technology,Semiconductors,,,,,1.0,1.0,3.0,10.0,11.0,1.0,0.0,3088000000.0
INTU,Intuit,Information Technology,Application Software,,,,,1.0,1.0,3.0,,,1.0,1967000000.0,889000000.0
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,,,,,1.0,0.0,3.0,,,0.0,0.0,638129000.0
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,,,,,1.0,1.0,3.0,,,1.0,218000000.0,642000000.0
IQV,IQVIA,Health Care,Life Sciences Tools & Services,,,,,1.0,1.0,3.0,,,1.0,992000000.0,
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,1.0,3.0,,,1.0,263000000.0,32400000.0
IRM,Iron Mountain,Real Estate,Other Specialized REITs,,,,,1.0,0.0,3.0,10.0,11.0,1.0,,737650000.0
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,,,,,1.0,1.0,1.0,,,1.0,416300000.0,
IT,Gartner,Information Technology,IT Consulting & Other Services,,,,,1.0,1.0,1.0,,,1.0,606188000.0,
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,1.0,3.0,,,1.0,1500000000.0,1615000000.0
IVZ,Invesco,Financials,Asset Management & Custody Banks,,1.0,reasonable,,1.0,1.0,3.0,,,0.0,187500000.0,357900000.0
J,Jacobs Solutions,Industrials,Construction & Engineering,,,,,1.0,1.0,3.0,,,1.0,265714000.0,128420000.0
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,,,,,1.0,1.0,3.0,,,1.0,159576000.0,173898000.0
JBL,Jabil,Information Technology,Electronic Manufacturing Services,,,,,1.0,1.0,3.0,8.0,10.0,1.0,487000000.0,45000000.0
JCI,Johnson Controls,Industrials,Building Products,,1.0,reasonable,,1.0,1.0,3.0,10.0,11.0,0.0,625000000.0,980000000.0
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,,,,,1.0,0.0,3.0,8.0,10.0,1.0,25000000.0,147237000.0
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,,1.0,reasonable,,1.0,1.0,3.0,,,1.0,5054000000.0,
JPM,JPMorgan Chase,Financials,Diversified Banks,,,,,1.0,1.0,3.0,,,1.0,9824000000.0,13463000000.0
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,,,,,1.0,1.0,3.0,8.0,9.0,1.0,706000000.0,1142000000.0
KEY,KeyCorp,Financials,Regional Banks,,,,,1.0,0.0,3.0,,,1.0,0.0,911000000.0
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,,,,,1.0,1.0,3.0,9.0,11.0,1.0,702000000.0,
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,,,,1.0,1.0,1.0,3.0,9.0,10.0,1.0,455000000.0,1965000000.0
KIM,Kimco Realty,Real Estate,Retail REITs,,,,,1.0,0.0,3.0,6.0,9.0,1.0,0.0,657460000.0
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,,,,,0.0,0.0,,,,1.0,289844000.0,563285000.0
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,,1.0,,,1.0,1.0,2.0,,,0.0,1311864000.0,732556000.0
KMB,Kimberly-Clark,Consumer Staples,Household Products,,,,,1.0,0.0,3.0,,,1.0,225000000.0,1588000000.0
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,,,,,1.0,0.0,3.0,8.0,11.0,1.0,522000000.0,2529000000.0
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,,1.0,limited,,1.0,1.0,,10.0,12.0,1.0,2289000000.0,7952000000.0
KR,Kroger,Consumer Staples,Food Retail,,1.0,reasonable,,1.0,0.0,3.0,,,1.0,62000000.0,796000000.0
KVUE,Kenvue,Consumer Staples,Personal Care Products,,,,,1.0,1.0,3.0,,,0.0,7000000.0,766000000.0
L,Loews Corporation,Financials,Multi-line Insurance,,,,,1.0,1.0,,,,1.0,849000000.0,57000000.0
LDOS,Leidos,Industrials,Diversified Support Services,,,,,1.0,1.0,3.0,9.0,10.0,1.0,225000000.0,
LEN,Lennar,Consumer Discretionary,Homebuilding,,,,,1.0,1.0,3.0,,,1.0,1182711000.0,430560000.0
LH,Labcorp,Health Care,Health Care Services,,,,,1.0,1.0,3.0,10.0,11.0,1.0,1000000000.0,254000000.0
LHX,L3Harris,Industrials,Aerospace & Defense,,,,,1.0,1.0,3.0,,,1.0,518000000.0,868000000.0
LII,Lennox International,Industrials,Building Products,,,,,1.0,1.0,3.0,,,1.0,0.0,153400000.0
LIN,Linde plc,Materials,Industrial Gases,,,,,1.0,1.0,3.0,,,1.0,3958000000.0,2482000000.0
LITE,Lumentum,Information Technology,Communications Equipment,,,,1.0,1.0,1.0,3.0,,,0.0,175600000.0,
LLY,Lilly (Eli),Health Care,Pharmaceuticals,1.0,,,,1.0,0.0,3.0,11.0,12.0,1.0,750000000.0,4069000000.0
LMT,Lockheed Martin,Industrials,Aerospace & Defense,,,,,1.0,1.0,3.0,,,1.0,6000000000.0,3056000000.0
LNT,Alliant Energy,Utilities,Electric Utilities,,,,,1.0,0.0,3.0,,,0.0,,456000000.0
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,,,,,1.0,1.0,3.0,11.0,12.0,1.0,6138000000.0,2531000000.0
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,,,,1.0,1.0,1.0,3.0,,,1.0,2017012000.0,907907000.0
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,1.0,1.0,3.0,,,0.0,558652000.0,
LUV,Southwest Airlines,Industrials,Passenger Airlines,,,,,1.0,0.0,3.0,,,0.0,0.0,428000000.0
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,,,,,1.0,1.0,,,,0.0,505000000.0,305000000.0
LYB,LyondellBasell,Materials,Specialty Chemicals,1.0,,,,1.0,1.0,3.0,,,0.0,211000000.0,1610000000.0
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,,,,,1.0,0.0,,,,0.0,0.0,
MA,Mastercard,Financials,Transaction & Payment Processing Services,,,,,1.0,1.0,3.0,10.0,11.0,1.0,9032000000.0,2158000000.0
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,,,,,1.0,0.0,,,,1.0,0.0,651717000.0
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,1.0,1.0,3.0,,,1.0,3953000000.0,587000000.0
MAS,Masco,Industrials,Building Products,,,,,1.0,1.0,3.0,9.0,10.0,1.0,353000000.0,257000000.0
MCD,McDonald's,Consumer Discretionary,Restaurants,,,,,1.0,1.0,3.0,11.0,12.0,1.0,3054000000.0,4533000000.0
MCHP,Microchip Technology,Information Technology,Semiconductors,,1.0,limited,1.0,1.0,1.0,,,,1.0,982100000.0,911500000.0
MCK,McKesson Corporation,Health Care,Health Care Distributors,,,,,1.0,1.0,3.0,10.0,11.0,1.0,3025000000.0,314000000.0
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,,,,,1.0,0.0,3.0,,,1.0,490000000.0,564000000.0
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,,,,,1.0,1.0,3.0,,,1.0,1547000000.0,2160000000.0
MDT,Medtronic,Health Care,Health Care Equipment,,,,,1.0,1.0,3.0,,,1.0,2138000000.0,3666000000.0
MET,MetLife,Financials,Life & Health Insurance,,,,,1.0,0.0,3.0,,,1.0,3103000000.0,1566000000.0
META,Meta Platforms,Communication Services,Interactive Media & Services,,1.0,limited,1.0,1.0,0.0,,,,1.0,19774000000.0,0.0
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,,,,,1.0,1.0,3.0,,,0.0,2291917000.0,0.0
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,,,,,1.0,1.0,3.0,,,1.0,35700000.0,418500000.0
MLM,Martin Marietta Materials,Materials,Construction Materials,,,,,1.0,1.0,3.0,9.0,10.0,1.0,150000000.0,174000000.0
MMM,3M,Industrials,Industrial Conglomerates,,,,,1.0,0.0,3.0,,,1.0,33000000.0,3311000000.0
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,,,,,1.0,1.0,3.0,,,1.0,658952000.0,
MO,Altria,Consumer Staples,Tobacco,,,,,1.0,1.0,3.0,9.0,10.0,0.0,1000000000.0,6779000000.0
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,,1.0,,,1.0,0.0,3.0,,,0.0,756000000.0,351600000.0
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,,,,,1.0,1.0,,10.0,11.0,1.0,11572000000.0,1261000000.0
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,,,,1.0,1.0,1.0,3.0,,,1.0,3700000.0,185844000.0
MRK,Merck & Co.,Health Care,Pharmaceuticals,,,,,1.0,1.0,3.0,12.0,13.0,1.0,1346000000.0,7445000000.0
MRNA,Moderna,Health Care,Biotechnology,,,,,1.0,1.0,3.0,,,1.0,1153000000.0,
MRSH,Marsh McLennan,Financials,Insurance Brokers,,,,,1.0,1.0,3.0,,,0.0,1150000000.0,1298000000.0
MRVL,Marvell Technology,Information Technology,Semiconductors,,,,1.0,1.0,1.0,3.0,,,1.0,150000000.0,206800000.0
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1.0,,,,1.0,1.0,3.0,,,1.0,,5763000000.0
MSCI,MSCI,Financials,Financial Exchanges & Data,,,,,1.0,1.0,3.0,,,1.0,504188000.0,440993000.0
MSFT,Microsoft,Information Technology,Systems Software,,,,,1.0,1.0,3.0,11.0,12.0,1.0,22245000000.0,19800000000.0
MSI,Motorola Solutions,Information Technology,Communications Equipment,,,,1.0,1.0,1.0,3.0,7.0,8.0,1.0,804000000.0,589000000.0
MTB,M&T Bank,Financials,Regional Banks,1.0,,,,1.0,1.0,3.0,,,1.0,594000000.0,868000000.0
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1.0,,,,1.0,1.0,3.0,,,0.0,900000000.0,
MU,Micron Technology,Information Technology,Semiconductors,,,,,1.0,1.0,3.0,7.0,8.0,1.0,425000000.0,504000000.0
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,1.0,1.0,,,,1.0,,
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,,,,,1.0,1.0,2.0,11.0,12.0,1.0,269000000.0,441000000.0
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,1.0,1.0,,,0.0,89708000.0,150356000.0
NEE,NextEra Energy,Utilities,Multi-Utilities,,,,1.0,1.0,1.0,3.0,11.0,12.0,1.0,,3782000000.0
NEM,Newmont,Materials,Gold,,1.0,limited,1.0,1.0,1.0,3.0,,,1.0,0.0,1415000000.0
NFLX,Netflix,Communication Services,Movies & Entertainment,,,,,1.0,1.0,2.0,,,1.0,6045347000.0,
NI,NiSource,Utilities,Multi-Utilities,1.0,,,1.0,1.0,1.0,3.0,,,1.0,,413500000.0
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,1.0,1.0,1.0,,,1.0,4250000000.0,2169000000.0
NOC,Northrop Grumman,Industrials,Aerospace & Defense,,0.0,reasonable,,1.0,0.0,3.0,,,1.0,1500000000.0,1116000000.0
NOW,ServiceNow,Information Technology,Systems Software,,,,,1.0,0.0,3.0,,,1.0,538000000.0,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,,,,1.0,1.0,1.0,3.0,,,1.0,1150000000.0,381000000.0
NSC,Norfolk Southern,Industrials,Rail Transportation,,,,,1.0,1.0,3.0,11.0,12.0,1.0,622000000.0,1225000000.0
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,1.0,0.0,3.0,,,0.0,900000000.0,416000000.0
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,,,,,1.0,1.0,3.0,,,1.0,347500000.0,621500000.0
NUE,Nucor,Materials,Steel,,,,,1.0,1.0,3.0,,,1.0,1554000000.0,515000000.0
NVDA,Nvidia,Information Technology,Semiconductors,,,,,1.0,1.0,3.0,,,1.0,9533000000.0,395000000.0
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,,,,,1.0,0.0,3.0,,,1.0,1081815000.0,
NWS,News Corp (Class B),Communication Services,Publishing,,,,,1.0,1.0,3.0,,,1.0,243000000.0,174000000.0
NXPI,NXP Semiconductors,Information Technology,Semiconductors,,1.0,limited,1.0,1.0,1.0,3.0,,,0.0,1053000000.0,1006000000.0
O,Realty Income,Real Estate,Retail REITs,,1.0,limited,,1.0,1.0,3.0,,,1.0,,2111793000.0
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,,,,,1.0,1.0,3.0,8.0,12.0,1.0,453613000.0,175089000.0
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,,,,1.0,1.0,1.0,3.0,11.0,12.0,1.0,0.0,1839000000.0
OMC,Omnicom Group,Communication Services,Advertising,1.0,,,,1.0,1.0,,,,1.0,570800000.0,562700000.0
ON,ON Semiconductor,Information Technology,Semiconductors,,,,,1.0,1.0,3.0,,,0.0,564200000.0,
ORCL,Oracle Corporation,Information Technology,Application Software,,,,,1.0,0.0,3.0,,,1.0,1202000000.0,4391000000.0
ORLY,O'Reilly Automotive,Consumer Discretionary,Automotive Retail,,,,,1.0,0.0,,,,1.0,3151155000.0,
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,1.0,3.0,9.0,10.0,1.0,800000000.0,539000000.0
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1.0,,,,1.0,1.0,3.0,,,0.0,1798000000.0,
PANW,Palo Alto Networks,Information Technology,Systems Software,,,,,1.0,1.0,3.0,,,1.0,272700000.0,
PAYX,Paychex,Industrials,Human Resource & Employment Services,,,,,1.0,0.0,3.0,,,1.0,169200000.0,1315300000.0
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,,,,,0.0,1.0,3.0,,,1.0,3500000.0,1518600000.0
PCG,PG&E Corporation,Utilities,Multi-Utilities,,,,,1.0,1.0,3.0,,,0.0,,0.0
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,1.0,,,,1.0,1.0,3.0,,,1.0,0.0,1137000000.0
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,,,,,1.0,1.0,3.0,12.0,13.0,0.0,1000000000.0,6682000000.0
PFE,Pfizer,Health Care,Pharmaceuticals,,,,,1.0,0.0,1.0,,,1.0,0.0,
PFG,Principal Financial Group,Financials,Life & Health Insurance,,,,,1.0,1.0,3.0,,,1.0,740400000.0,625500000.0
PG,Procter & Gamble,Consumer Staples,Personal Care Products,,,,,1.0,1.0,3.0,,,1.0,7353000000.0,8999000000.0
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1.0,1.0,limited,1.0,1.0,1.0,3.0,,,1.0,,234000000.0
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,0.0,3.0,,,1.0,297000000.0,704000000.0
PHM,PulteGroup,Consumer Discretionary,Homebuilding,,,,,1.0,1.0,3.0,,,0.0,1000000000.0,142459000.0
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,,,,,0.0,0.0,3.0,,,0.0,41500000.0,448900000.0
PLD,Prologis,Real Estate,Industrial REITs,,,,,1.0,1.0,3.0,,,1.0,,3228589000.0
PLTR,Palantir Technologies,Information Technology,Application Software,,,,,1.0,0.0,,,,0.0,0.0,
PM,Philip Morris International,Consumer Staples,Tobacco,,1.0,limited,,1.0,1.0,3.0,,,1.0,0.0,7964000000.0
PNC,PNC Financial Services,Financials,Diversified Banks,,,,,1.0,1.0,3.0,,,1.0,651000000.0,2461000000.0
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,1.0,1.0,,,0.0,0.0,145200000.0
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,,,,,1.0,0.0,3.0,9.0,10.0,1.0,4093000.0,386486000.0
PODD,Insulet Corporation,Health Care,Health Care Equipment,,,,,1.0,1.0,3.0,,,1.0,0.0,
PPG,PPG Industries,Materials,Specialty Chemicals,,,,,1.0,1.0,3.0,11.0,12.0,1.0,86000000.0,598000000.0
PPL,PPL Corporation,Utilities,Electric Utilities,1.0,,,,1.0,0.0,3.0,,,1.0,0.0,704000000.0
PRU,Prudential Financial,Financials,Life & Health Insurance,1.0,,,,1.0,0.0,3.0,,,1.0,1012000000.0,1846000000.0
PSA,Public Storage,Real Estate,Self-Storage REITs,,,,1.0,1.0,0.0,3.0,,,1.0,0.0,
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,,,,,,,,,,,,389000000.0
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,,,,,1.0,1.0,3.0,,,1.0,4014000000.0,1882000000.0
PTC,PTC Inc.,Information Technology,Application Software,,,,,1.0,1.0,3.0,,,1.0,0.0,
PWR,Quanta Services,Industrials,Construction & Engineering,,1.0,reasonable,,1.0,1.0,3.0,,,0.0,350000.0,47752000.0
PYPL,PayPal,Financials,Transaction & Payment Processing Services,,,,,1.0,1.0,3.0,10.0,11.0,1.0,5002000000.0,0.0
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,,,,,1.0,1.0,,9.0,10.0,0.0,,0.0
QCOM,Qualcomm,Information Technology,Semiconductors,,,,,1.0,1.0,3.0,,,1.0,2973000000.0,
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,1.0,1.0,3.0,,,1.0,0.0,0.0
RDDT,Reddit,Communication Services,Interactive Media & Services,,,,,1.0,0.0,,7.0,8.0,1.0,,
REG,Regency Centers,Real Estate,Retail REITs,,,,,1.0,0.0,,,,1.0,20006000.0,453065000.0
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,,,,,1.0,1.0,5.0,,,1.0,2235000000.0,0.0
RF,Regions Financial Corporation,Financials,Regional Banks,,,,,1.0,1.0,3.0,,,1.0,252000000.0,787000000.0
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,,,,,1.0,0.0,,,,1.0,,
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,,,1.0,1.0,3.0,,,1.0,449700000.0,194600000.0
RMD,ResMed|,Health Care,Health Care Equipment,,,,,1.0,1.0,3.0,9.0,11.0,1.0,0.0,258276000.0
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,,,,,1.0,1.0,,,,1.0,312000000.0,542000000.0
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,,,,,1.0,1.0,3.0,,,1.0,315013000.0,264348000.0
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,,,,,1.0,1.0,3.0,,,0.0,0.0,290200000.0
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,1.0,,,,1.0,1.0,,,,1.0,949996000.0,454814000.0
RSG,Republic Services,Industrials,Environmental & Facilities Services,,,,,1.0,1.0,3.0,,,0.0,262000000.0,638000000.0
RTX,RTX Corporation,Industrials,Aerospace & Defense,,,,,1.0,1.0,3.0,,,1.0,12870000000.0,3239000000.0
RVTY,Revvity,Health Care,Health Care Equipment,,,,,1.0,0.0,3.0,9.0,10.0,1.0,388882000.0,34966000.0
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,,,,,1.0,1.0,3.0,,,1.0,100010000.0,369960000.0
SBUX,Starbucks,Consumer Discretionary,Restaurants,,1.0,reasonable,,1.0,0.0,,,,1.0,984400000.0,2431800000.0
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,,,,,1.0,1.0,3.0,,,1.0,2842000000.0,2276000000.0
SHW,Sherwin-Williams,Materials,Specialty Chemicals,,,,,1.0,1.0,3.0,,,1.0,,623700000.0
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,,,,,1.0,0.0,3.0,,,1.0,372800000.0,437500000.0
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,,,,,1.0,1.0,3.0,,,1.0,,1317000000.0
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,1.0,1.0,,,,1.0,,
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,,,,1.0,1.0,1.0,3.0,,,1.0,294700000.0,355600000.0
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,1.0,1.0,3.0,6.0,7.0,1.0,,
SNPS,Synopsys,Information Technology,Application Software,,,,,1.0,1.0,3.0,,,1.0,1160724000.0,
SO,Southern Company,Utilities,Electric Utilities,,,,,1.0,1.0,3.0,11.0,12.0,1.0,,3035000000.0
SOLV,Solventum,Health Care,Health Care Technology,,,,,1.0,1.0,3.0,,,1.0,,
SPG,Simon Property Group,Real Estate,Retail REITs,,,,,1.0,0.0,1.0,,,1.0,140593000.0,
SPGI,S&P Global,Financials,Financial Exchanges & Data,,,,,1.0,1.0,3.0,,,0.0,3301000000.0,1147000000.0
SRE,Sempra,Utilities,Multi-Utilities,,,,,1.0,1.0,3.0,9.0,11.0,1.0,32000000.0,1483000000.0
STE,Steris,Health Care,Health Care Equipment,,,,,1.0,0.0,,,,0.0,11800000.0,200600000.0
STLD,Steel Dynamics,Materials,Steel,1.0,1.0,reasonable,,1.0,0.0,3.0,,,1.0,1452203000.0,271317000.0
STT,State Street Corporation,Financials,Asset Management & Custody Banks,,,,,1.0,1.0,3.0,12.0,13.0,1.0,3781000000.0,970000000.0
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",,1.0,reasonable,1.0,1.0,1.0,3.0,,,1.0,408000000.0,582000000.0
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,,,,,1.0,1.0,3.0,,,1.0,249700000.0,653800000.0
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,1.0,,,,1.0,1.0,3.0,10.0,12.0,0.0,30000000.0,391000000.0
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,1.0,3.0,,,1.0,16100000.0,482600000.0
SWKS,Skyworks Solutions,Information Technology,Semiconductors,,,,1.0,1.0,0.0,4.0,,,1.0,175300000.0,405200000.0
SYF,Synchrony Financial,Financials,Consumer Finance,,,,,1.0,1.0,3.0,,,1.0,1112000000.0,406000000.0
SYK,Stryker Corporation,Health Care,Health Care Equipment,,,,,1.0,1.0,3.0,,,1.0,,1139000000.0
SYY,Sysco,Consumer Staples,Food Distributors,,1.0,limited,,1.0,1.0,3.0,,,1.0,500000000.0,996000000.0
T,AT&T,Communication Services,Integrated Telecommunication Services,,,,,1.0,1.0,3.0,,,1.0,194000000.0,8136000000.0
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,,,,,1.0,1.0,3.0,,,0.0,205800000.0,354700000.0
TDG,TransDigm Group,Industrials,Aerospace & Defense,,,,,1.0,0.0,,8.0,10.0,1.0,0.0,38000000.0
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,,,,1.0,1.0,1.0,3.0,,,1.0,0.0,
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,,1.0,limited,,1.0,1.0,3.0,,,1.0,19562000.0,50285000.0
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,,1.0,reasonable,,1.0,1.0,3.0,,,0.0,945000000.0,725000000.0
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,,,,,1.0,1.0,3.0,,,0.0,397241000.0,67878000.0
TFC,Truist Financial,Financials,Diversified Banks,1.0,,,,1.0,1.0,3.0,,,1.0,0.0,2770000000.0
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,,,,,1.0,1.0,3.0,,,1.0,0.0,2011000000.0
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,,,,,1.0,1.0,3.0,,,1.0,2484000000.0,1484000000.0
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,,,,,1.0,1.0,,,,1.0,100000000.0,
